Date,AUM
9/2/2022,160.3139793
9/5/2022,160.6599136
9/6/2022,161.8675715
9/7/2022,162.3135024
9/8/2022,163.0349125
9/9/2022,163.6534927
9/12/2022,164.8788408
9/13/2022,166.3026251
9/14/2022,165.6449229
9/15/2022,165.7573542
9/16/2022,162.9105874
9/19/2022,164.184993
9/20/2022,167.1052556
9/21/2022,164.3582529
9/22/2022,164.7391347
9/23/2022,162.6440631
9/26/2022,159.8643089
9/27/2022,159.9498552
9/28/2022,159.4743526
9/29/2022,159.2121302
9/30/2022,160.2579145
10/3/2022,156.6931047
10/4/2022,159.9687813
10/6/2022,160.7247415
10/7/2022,160.4665123
10/10/2022,159.5685617
10/11/2022,157.2202385
10/12/2022,157.7970525
10/13/2022,156.753271
10/14/2022,157.4835896
10/17/2022,157.9531559
10/18/2022,159.9511757
10/19/2022,159.7088784
10/20/2022,161.0989069
10/21/2022,160.6113883
10/24/2022,161.6938857
10/25/2022,161.5517959
10/27/2022,162.6890098
10/28/2022,162.8180911
10/31/2022,164.2920905
11/1/2022,168.0965165
11/2/2022,167.0042496
11/3/2022,166.7715727
11/4/2022,168.8973436
11/7/2022,169.3289663
11/9/2022,169.0438535
11/10/2022,167.8045528
11/11/2022,169.674422
11/14/2022,170.3028045
11/15/2022,171.2902638
11/16/2022,169.7738311
11/17/2022,169.5501392
11/18/2022,168.9661819
11/21/2022,168.0552709
11/22/2022,169.1538738
11/23/2022,168.5574954
11/24/2022,170.5439614
11/25/2022,170.8829544
11/28/2022,170.7356648
11/29/2022,171.0804959
11/30/2022,172.6135683
12/1/2022,173.1606846
12/2/2022,172.7591692
12/5/2022,172.8725087
12/6/2022,173.1282183
12/7/2022,171.8874359
12/8/2022,172.1391247
12/9/2022,170.884178
12/12/2022,171.336038
12/13/2022,172.2942473
12/14/2022,172.8951272
12/15/2022,171.2859601
12/16/2022,169.207
12/19/2022,171.053557
12/20/2022,171.3504299
12/21/2022,169.6744563
12/22/2022,168.8377467
12/23/2022,164.4837432
12/26/2022,165.7002407
12/27/2022,167.125612
12/28/2022,167.0366929
12/29/2022,167.291967
12/30/2022,167.2384491
12/31/2022,167.2384491
1/2/2023,168.3091792
1/3/2023,168.4187952
1/4/2023,166.6683372
1/5/2023,167.7991766
1/6/2023,166.8006386
1/9/2023,168.5296042
1/10/2023,166.8739351
1/11/2023,165.9202767
1/12/2023,165.9301987
1/13/2023,167.1675739
1/16/2023,166.3537691
1/17/2023,167.2248343
1/18/2023,168.1134182
1/19/2023,167.540782
1/20/2023,166.9019019
1/23/2023,167.4155936
1/24/2023,166.9841342
1/25/2023,165.6506815
1/27/2023,162.4236309
1/30/2023,162.8134939
1/31/2023,163.6895584
2/1/2023,159.7362724
2/2/2023,157.013643
2/3/2023,158.4797274
2/6/2023,158.2072817
2/7/2023,157.7903743
2/8/2023,160.3201132
2/9/2023,159.1943453
2/10/2023,158.4323644
2/13/2023,157.9796381
2/14/2023,158.7547067
2/15/2023,159.5506035
2/16/2023,160.5999235
2/17/2023,159.8876916
2/20/2023,158.5166708
2/21/2023,158.3804518
2/22/2023,156.0972712
2/23/2023,156.1190306
2/24/2023,155.6698385
2/27/2023,154.1974373
2/28/2023,153.2798516
3/1/2023,155.3009841
3/2/2023,154.7415367
3/3/2023,157.5157042
3/6/2023,159.0047065
3/8/2023,159.8682485
3/9/2023,158.8136705
3/10/2023,158.2852401
3/13/2023,156.5819134
3/14/2023,155.013266
3/15/2023,155.6191358
3/16/2023,155.9461984
3/17/2023,156.1381725
3/20/2023,154.8461447
3/21/2023,155.0784318
3/22/2023,155.1059586
3/23/2023,155.1026354
3/24/2023,153.5034742
3/27/2023,153.6374451
3/28/2023,152.7376319
3/29/2023,154.8286527
3/31/2023,156.1327841
4/3/2023,156.4780352
4/5/2023,157.2344392
4/6/2023,157.5639823
4/10/2023,158.8561442
4/11/2023,160.1712214
4/12/2023,160.6380962
4/13/2023,160.5810112
4/17/2023,160.4832725
4/18/2023,160.5974608
