Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LTIM.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,NESTLEIND.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,UPL.NS,ULTRACEMCO.NS,WIPRO.NS
2023-02-17,1721.8397216796875,574.785888671875,4599.998046875,2809.949951171875,854.0285034179688,3661.761474609375,6361.9677734375,1412.5648193359375,328.0413818359375,773.2481079101562,4456.83447265625,1017.4977416992188,204.38096618652344,2807.134521484375,4475.35205078125,3249.1376953125,1633.9735107421875,1071.3338623046875,1637.1256103515625,502.5928649902344,2507.3388671875,426.7137451171875,2476.954833984375,855.6072387695312,381.05230712890625,1102.6038818359375,1522.3446044921875,725.3447875976562,1757.8026123046875,4801.658203125,2221.3408203125,1327.5875244140625,8725.6376953125,164.14590454101562,18817.197265625,147.699462890625,153.2800750732422,2431.6103515625,1147.00634765625,520.8780517578125,981.0302734375,3457.343994140625,718.3447875976562,438.5332336425781,108.7021484375,1060.636962890625,2492.2255859375,757.711181640625,7264.6474609375,406.29998779296875
2023-02-20,1620.6402587890625,575.828857421875,4595.9111328125,2801.967041015625,845.8867797851562,3670.694091796875,6313.08837890625,1403.124755859375,322.5525817871094,775.58740234375,4378.7236328125,956.2445678710938,205.13272094726562,2877.367431640625,4440.07763671875,3254.57763671875,1623.0833740234375,1077.2720947265625,1621.7518310546875,506.28070068359375,2499.328857421875,431.43292236328125,2472.967041015625,845.143310546875,381.69830322265625,1097.2625732421875,1530.6588134765625,720.31591796875,1735.8707275390625,4829.8759765625,2220.49267578125,1332.288330078125,8612.6015625,163.99937438964844,18621.076171875,146.0489501953125,154.71392822265625,2405.901123046875,1155.68603515625,515.1395874023438,980.9306640625,3443.667724609375,713.9432373046875,441.62359619140625,108.79898834228516,1074.72607421875,2466.15966796875,745.7081909179688,7393.060546875,407.04998779296875
2023-02-21,1570.3154296875,579.3055419921875,4487.70703125,2793.58740234375,843.1895751953125,3607.97705078125,6324.83740234375,1392.8355712890625,319.6845703125,775.48779296875,4427.4384765625,958.1788940429688,201.13906860351562,2895.22314453125,4451.33935546875,3238.406005859375,1624.2271728515625,1067.1336669921875,1627.8321533203125,499.4033508300781,2492.505615234375,428.7007751464844,2477.594970703125,847.2262573242188,379.9093322753906,1089.79443359375,1518.2113037109375,717.07958984375,1728.7764892578125,4822.01806640625,2224.43359375,1337.8302001953125,8589.0224609375,169.22509765625,18646.447265625,145.34156799316406,155.71762084960938,2425.531982421875,1147.65478515625,513.4719848632812,968.1757202148438,3407.82177734375,718.2953491210938,435.143798828125,109.5737075805664,1065.568115234375,2455.64404296875,735.0826416015625,7307.15283203125,402.75
2023-02-22,1404.1484375,543.446533203125,4434.92578125,2772.61376953125,832.5004272460938,3611.362060546875,6145.77783203125,1359.5206298828125,316.91546630859375,768.619384765625,4408.90625,954.8062133789062,199.07177734375,2897.157470703125,4441.96337890625,3214.222900390625,1565.5494384765625,1054.9676513671875,1595.8983154296875,492.8250732421875,2471.640380859375,426.9124755859375,2455.833740234375,832.3982543945312,381.4995422363281,1080.89208984375,1501.1982421875,697.0140991210938,1699.1510009765625,4749.2763671875,2189.811767578125,1306.0631103515625,8578.224609375,166.5389862060547,18473.7734375,144.86997985839844,153.88946533203125,2370.526123046875,1128.4998779296875,506.50726318359375,965.136474609375,3358.990478515625,713.5970458984375,428.1156921386719,107.63691711425781,1057.3494873046875,2423.697509765625,727.3594360351562,7172.966796875,395.1499938964844
2023-02-23,1381.9595947265625,548.1648559570312,4433.87890625,2683.365234375,843.4892578125,3603.087158203125,6149.44677734375,1345.5352783203125,317.01434326171875,759.4614868164062,4376.46240234375,952.5742797851562,201.9377899169922,2850.186767578125,4415.0732421875,3206.5576171875,1571.715576171875,1056.657470703125,1585.072509765625,485.2500305175781,2467.734375,433.6186828613281,2452.485595703125,832.8941650390625,385.2265930175781,1063.92822265625,1490.52880859375,698.3583984375,1705.7454833984375,4797.01318359375,2154.291748046875,1300.3232421875,8615.1767578125,165.659912109375,18447.90234375,145.8603057861328,152.88575744628906,2359.166259765625,1132.7398681640625,511.0686340332031,969.0725708007812,3371.087158203125,708.3052978515625,431.85406494140625,108.50847625732422,1060.26123046875,2386.76708984375,733.114990234375,7144.2978515625,393.95001220703125
2023-02-24,1314.9930419921875,555.1677856445312,4462.42626953125,2715.643310546875,850.5321044921875,3620.0595703125,6183.05712890625,1357.5726318359375,314.0474548339844,753.63818359375,4367.6630859375,954.062255859375,203.95811462402344,2891.850341796875,4456.25146484375,3170.6044921875,1566.5936279296875,1057.1402587890625,1570.9346923828125,481.26318359375,2457.993896484375,412.5561828613281,2446.134765625,832.8446044921875,382.7419128417969,1067.439697265625,1490.4808349609375,682.1268310546875,1695.9036865234375,4796.9638671875,2129.248291015625,1266.9232177734375,8579.759765625,167.02737426757812,18480.44921875,150.07200622558594,154.17623901367188,2375.309326171875,1119.4212646484375,511.11767578125,967.07958984375,3357.904052734375,708.3547973632812,426.4209899902344,106.28116607666016,1051.0562744140625,2391.352294921875,726.3755493164062,7183.86669921875,393.29998779296875
2023-02-27,1192.904052734375,558.2470703125,4431.58349609375,2726.9482421875,853.4790649414062,3422.50537109375,6141.6630859375,1355.974365234375,316.91546630859375,749.4573974609375,4314.27880859375,942.5556030273438,203.86415100097656,2835.6044921875,4386.6953125,3096.868408203125,1563.013427734375,1046.6156005859375,1574.8399658203125,487.0939636230469,2410.42919921875,409.1285705566406,2430.330322265625,849.4082641601562,379.8596496582031,1070.209228515625,1450.7353515625,677.6456909179688,1724.530029296875,4719.32958984375,2108.944091796875,1244.3597412109375,8551.724609375,168.3948516845703,18422.923828125,150.31405639648438,157.1514892578125,2359.51513671875,1126.5045166015625,517.6409301757812,961.6488037109375,3290.16259765625,702.5684204101562,416.65142822265625,102.74652862548828,1046.312744140625,2393.24609375,696.860107421875,7153.953125,390.3500061035156
2023-02-28,1363.1689453125,588.4937744140625,4393.55322265625,2805.18994140625,843.239501953125,3442.580322265625,6059.9658203125,1333.498046875,313.84967041015625,738.8560791015625,4386.53955078125,899.1079711914062,202.4076385498047,2802.968017578125,4283.10546875,3071.99267578125,1569.925537109375,1040.484375,1581.4638671875,487.193603515625,2392.1845703125,396.6103210449219,2422.9453125,847.8709106445312,374.3933410644531,1066.00537109375,1429.829345703125,664.4014892578125,1727.8272705078125,4666.9970703125,2104.404296875,1256.4332275390625,8543.947265625,166.5389862060547,18469.666015625,147.21580505371094,159.33815002441406,2314.374755859375,1118.3736572265625,512.8343505859375,953.2285766601562,3271.400390625,707.5139770507812,419.39288330078125,100.66448211669922,1033.4447021484375,2365.13720703125,682.9878540039062,7228.263671875,387.04998779296875
2023-03-01,1563.5189208984375,598.0792846679688,4405.6806640625,2817.18896484375,864.26806640625,3508.823486328125,6102.3515625,1342.488525390625,312.4156494140625,746.769775390625,4305.97119140625,892.3626098632812,205.5555877685547,2822.51025390625,4310.4912109375,3104.53369140625,1584.9429931640625,1063.1749267578125,1579.9315185546875,488.1405029296875,2404.051025390625,410.3704528808594,2428.459716796875,849.30908203125,376.381103515625,1088.5084228515625,1437.9993896484375,673.8616333007812,1743.4644775390625,4688.4931640625,2110.54052734375,1258.956787109375,8682.4443359375,168.2483367919922,18577.349609375,149.87835693359375,156.93643188476562,2335.6494140625,1115.5302734375,526.4693603515625,955.9190673828125,3343.3388671875,707.4645385742188,424.6764221191406,102.16549682617188,1058.4766845703125,2374.7060546875,701.7793579101562,7241.05517578125,390.95001220703125
2023-03-02,1606.4473876953125,618.7404174804688,4394.1025390625,2810.2470703125,844.588134765625,3493.40283203125,6031.1142578125,1342.1387939453125,317.50885009765625,736.7158813476562,4320.12841796875,879.3184814453125,209.4082794189453,2838.233154296875,4356.53125,3091.37890625,1589.7664794921875,1067.8577880859375,1566.485595703125,481.21331787109375,2435.942138671875,408.1350402832031,2417.726806640625,847.02783203125,373.2503662109375,1090.0911865234375,1415.0267333984375,672.268310546875,1720.283447265625,4650.68896484375,2116.826416015625,1238.5704345703125,8469.0517578125,166.83203125,18283.435546875,149.15220642089844,157.97596740722656,2317.8623046875,1097.572509765625,523.5756225585938,961.89794921875,3279.892578125,699.6505126953125,419.1436767578125,101.34236145019531,1042.4149169921875,2351.331787109375,694.4989013671875,7256.037109375,388.04998779296875
